ID,Tempat Wisata,Tahun,Wisnus,Wisman
201,Museum Up Side Down,2020,0,0
202,Museum Up Side Down,2021,0,0
203,Museum Up Side Down,2022,0,0
204,Museum Up Side Down,2023,0,0
205,Museum Up Side Down,2024,5967,9261
206,Ekowisata Batulumbang,2020,0,0
207,Ekowisata Batulumbang,2021,0,0
208,Ekowisata Batulumbang,2022,0,0
209,Ekowisata Batulumbang,2023,0,0
210,Ekowisata Batulumbang,2024,21299,345
211,Pantai Giri Emas,2020,0,0
212,Pantai Giri Emas,2021,0,0
213,Pantai Giri Emas,2022,0,0
214,Pantai Giri Emas,2023,0,0
215,Pantai Giri Emas,2024,771,4
216,Sangeh,2020,37265,14221
217,Sangeh,2021,29521,1290
218,Sangeh,2022,1831,2004
219,Sangeh,2023,26334,53973
220,Sangeh,2024,38568,99782
221,Taman Ayun,2020,14464,45272
222,Taman Ayun,2021,11719,535
223,Taman Ayun,2022,450850,83833
224,Taman Ayun,2023,22814,192690
225,Taman Ayun,2024,22812,204943
226,Uluwatu,2020,142615,256223
227,Uluwatu,2021,144646,6686
228,Uluwatu,2022,450850,480884
229,Uluwatu,2023,526558,1150979
230,Uluwatu,2024,509477,1328680
231,Air Terjun Nungnung,2020,5125,10978
232,Air Terjun Nungnung,2021,2372,1371
233,Air Terjun Nungnung,2022,2280,17398
234,Air Terjun Nungnung,2023,2741,36142
235,Air Terjun Nungnung,2024,3072,32332
236,Pantai Pandawa,2020,537216,48315
237,Pantai Pandawa,2021,362158,6877
238,Pantai Pandawa,2022,900115,52438
239,Pantai Pandawa,2023,1168485,290839
240,Pantai Pandawa,2024,1703123,357730
241,Pantai Labuan Sait,2020,27044,77779
242,Pantai Labuan Sait,2021,28242,8021
243,Pantai Labuan Sait,2022,93953,207218
244,Pantai Labuan Sait,2023,94802,362791
245,Pantai Labuan Sait,2024,90421,379360
246,Pancoran Solas ,2020,0,0
247,Pancoran Solas ,2021,0,0
248,Pancoran Solas ,2022,46235,1630
249,Pancoran Solas ,2023,54404,7320
250,Pancoran Solas ,2024,59323,16706
251,Water Blow,2020,0,0
252,Water Blow,2021,0,0
253,Water Blow,2022,28445,17327
254,Water Blow,2023,28001,35493
255,Water Blow,2024,25990,32297
256,Goa Gajah,2020,7449,45019
257,Goa Gajah,2021,6068,1441
258,Goa Gajah,2022,14361,93552
259,Goa Gajah,2023,13720,216108
260,Goa Gajah,2024,9827,203025
261,Gn. Kawi Tampak Siring,2020,3844,21652
262,Gn. Kawi Tampak Siring,2021,3229,1065
263,Gn. Kawi Tampak Siring,2022,6498,54352
264,Gn. Kawi Tampak Siring,2023,5501,99482
265,Gn. Kawi Tampak Siring,2024,3982,82677
266,Gn. Kawi Sebatu,2020,419,8486
267,Gn. Kawi Sebatu,2021,334,279
268,Gn. Kawi Sebatu,2022,1287,17972
269,Gn. Kawi Sebatu,2023,2609,65293
270,Gn. Kawi Sebatu,2024,2406,76286
271,Tirta Empul,2020,46132,150285
272,Tirta Empul,2021,42062,3895
273,Tirta Empul,2022,116263,326855
274,Tirta Empul,2023,118345,778534
275,Tirta Empul,2024,92848,833859
276,Mandala Suci Wanara Wana ,2020,0,0
277,Mandala Suci Wanara Wana ,2021,0,0
278,Mandala Suci Wanara Wana ,2022,0,0
279,Mandala Suci Wanara Wana ,2023,605,731578
280,Mandala Suci Wanara Wana ,2024,92457,956107
281,Yeh Pulu,2020,170,706
282,Yeh Pulu,2021,155,36
283,Yeh Pulu,2022,213,1995
284,Yeh Pulu,2023,224,3530
285,Yeh Pulu,2024,207,3756
286,Taman Burung dan Rimba Reptil,2020,0,0
287,Taman Burung dan Rimba Reptil,2021,0,0
288,Taman Burung dan Rimba Reptil,2022,0,0
289,Taman Burung dan Rimba Reptil,2023,11424,5660
290,Taman Burung dan Rimba Reptil,2024,24712,29342
291,Wisata Gajah Taro,2020,0,0
292,Wisata Gajah Taro,2021,0,0
293,Wisata Gajah Taro,2022,0,0
294,Wisata Gajah Taro,2023,1113,28963
295,Wisata Gajah Taro,2024,2729,87131
296,Museum Arkeologi Garca,2020,0,0
297,Museum Arkeologi Garca,2021,7,0
298,Museum Arkeologi Garca,2022,0,0
299,Museum Arkeologi Garca,2023,3125,305
300,Museum Arkeologi Garca,2024,3639,330
301,Museum Neka,2020,79,1329
302,Museum Neka,2021,0,0
303,Museum Neka,2022,666,4666
304,Museum Neka,2023,573,6525
305,Museum Neka,2024,1011,3865
306,Museum Rudana,2020,174,196
307,Museum Rudana,2021,0,0
308,Museum Rudana,2022,0,0
309,Museum Rudana,2023,102,480
310,Museum Rudana,2024,382,760
311,Museum Arma,2020,88,3659
312,Museum Arma,2021,231,0
313,Museum Arma,2022,0,0
314,Museum Arma,2023,0,1259
315,Museum Arma,2024,172,6200
316,Bali Zoo Park,2020,27238,28917
317,Bali Zoo Park,2021,24783,26079
318,Bali Zoo Park,2022,60890,221377
319,Bali Zoo Park,2023,31552,20504
320,Bali Zoo Park,2024,84908,127698
321,Bali Safari & Marine Park,2020,26989,36236
322,Bali Safari & Marine Park,2021,65807,2096
323,Bali Safari & Marine Park,2022,194333,73529
324,Bali Safari & Marine Park,2023,152643,109077
325,Bali Safari & Marine Park,2024,113930,111239
326,Museum Antonio Blanco,2020,928,2653
327,Museum Antonio Blanco,2021,0,0
328,Museum Antonio Blanco,2022,560,379
329,Museum Antonio Blanco,2023,518,431
330,Museum Antonio Blanco,2024,510,428
331,Rafting Adventure,2020,0,0
332,Rafting Adventure,2021,0,0
333,Rafting Adventure,2022,0,0
334,Rafting Adventure,2023,444,5812
335,Rafting Adventure,2024,14979,35388
336,Museum Ratna Warta,2020,1064,6380
337,Museum Ratna Warta,2021,0,0
338,Museum Ratna Warta,2022,1490,10045
339,Museum Ratna Warta,2023,1130,14900
340,Museum Ratna Warta,2024,1027,19694
341,Air Terjun Tegenungan,2020,41075,67530
342,Air Terjun Tegenungan,2021,0,0
343,Air Terjun Tegenungan,2022,0,0
344,Air Terjun Tegenungan,2023,10206,225932
345,Air Terjun Tegenungan,2024,22117,412559
346,Monkey river  dan Air Terjun Blangsinga,2020,0,0
347,Monkey river  dan Air Terjun Blangsinga,2021,0,0
348,Monkey river  dan Air Terjun Blangsinga,2022,0,0
349,Monkey river  dan Air Terjun Blangsinga,2023,966,2888
350,Monkey river  dan Air Terjun Blangsinga,2024,4419,6749
351,Candi Tebing Tegallinggah,2020,0,0
352,Candi Tebing Tegallinggah,2021,229,173
353,Candi Tebing Tegallinggah,2022,386,450
354,Candi Tebing Tegallinggah,2023,350,1059
355,Candi Tebing Tegallinggah,2024,427,1390
356,DTW Mengening,2020,0,0
357,DTW Mengening,2021,418,28
358,DTW Mengening,2022,960,5568
359,DTW Mengening,2023,2057,22051
360,DTW Mengening,2024,1877,31991
361,Hidden Canyon,2020,0,0
362,Hidden Canyon,2021,0,0
363,Hidden Canyon,2022,0,0
364,Hidden Canyon,2023,259,3216
365,Hidden Canyon,2024,1418,5443
366,Ceking,2020,0,0
367,Ceking,2021,0,0
368,Ceking,2022,0,0
369,Ceking,2023,0,145083
370,Ceking,2024,0,78746
371,Goa Garba,2020,0,0
372,Goa Garba,2021,0,0
373,Goa Garba,2022,43,162
374,Goa Garba,2023,590,1674
375,Goa Garba,2024,605,2290
376,Penulisan,2020,10,95
377,Penulisan,2021,8,12
