ID,Wilayah,Tempat Wisata,Tahun,Wisnus,Wisman
230,BADUNG REGENCY,Uluwatu,2024,509477,1328680
231,BADUNG REGENCY,Air Terjun Nungnung,2020,5125,10978
232,BADUNG REGENCY,Air Terjun Nungnung,2021,2372,1371
233,BADUNG REGENCY,Air Terjun Nungnung,2022,2280,17398
234,BADUNG REGENCY,Air Terjun Nungnung,2023,2741,36142
235,BADUNG REGENCY,Air Terjun Nungnung,2024,3072,32332
236,BADUNG REGENCY,Pantai Pandawa,2020,537216,48315
237,BADUNG REGENCY,Pantai Pandawa,2021,362158,6877
238,BADUNG REGENCY,Pantai Pandawa,2022,900115,52438
239,BADUNG REGENCY,Pantai Pandawa,2023,1168485,290839
240,BADUNG REGENCY,Pantai Pandawa,2024,1703123,357730
241,BADUNG REGENCY,Pantai Labuan Sait,2020,27044,77779
242,BADUNG REGENCY,Pantai Labuan Sait,2021,28242,8021
243,BADUNG REGENCY,Pantai Labuan Sait,2022,93953,207218
244,BADUNG REGENCY,Pantai Labuan Sait,2023,94802,362791
245,BADUNG REGENCY,Pantai Labuan Sait,2024,90421,379360
246,BADUNG REGENCY,Pancoran Solas ,2020,0,0
247,BADUNG REGENCY,Pancoran Solas ,2021,0,0
248,BADUNG REGENCY,Pancoran Solas ,2022,46235,1630
249,BADUNG REGENCY,Pancoran Solas ,2023,54404,7320
250,BADUNG REGENCY,Pancoran Solas ,2024,59323,16706
251,BADUNG REGENCY,Water Blow,2020,0,0
252,BADUNG REGENCY,Water Blow,2021,0,0
253,BADUNG REGENCY,Water Blow,2022,28445,17327
254,BADUNG REGENCY,Water Blow,2023,28001,35493
255,BADUNG REGENCY,Water Blow,2024,25990,32297
256,GIANYAR REGENCY,Goa Gajah,2020,7449,45019
257,GIANYAR REGENCY,Goa Gajah,2021,6068,1441
258,GIANYAR REGENCY,Goa Gajah,2022,14361,93552
259,GIANYAR REGENCY,Goa Gajah,2023,13720,216108
260,GIANYAR REGENCY,Goa Gajah,2024,9827,203025
261,GIANYAR REGENCY,Gn. Kawi Tampak Siring,2020,3844,21652
262,GIANYAR REGENCY,Gn. Kawi Tampak Siring,2021,3229,1065
263,GIANYAR REGENCY,Gn. Kawi Tampak Siring,2022,6498,54352
264,GIANYAR REGENCY,Gn. Kawi Tampak Siring,2023,5501,99482
265,GIANYAR REGENCY,Gn. Kawi Tampak Siring,2024,3982,82677
266,GIANYAR REGENCY,Gn. Kawi Sebatu,2020,419,8486
267,GIANYAR REGENCY,Gn. Kawi Sebatu,2021,334,279
268,GIANYAR REGENCY,Gn. Kawi Sebatu,2022,1287,17972
269,GIANYAR REGENCY,Gn. Kawi Sebatu,2023,2609,65293
270,GIANYAR REGENCY,Gn. Kawi Sebatu,2024,2406,76286
271,GIANYAR REGENCY,Tirta Empul,2020,46132,150285
272,GIANYAR REGENCY,Tirta Empul,2021,42062,3895
273,GIANYAR REGENCY,Tirta Empul,2022,116263,326855
274,GIANYAR REGENCY,Tirta Empul,2023,118345,778534
275,GIANYAR REGENCY,Tirta Empul,2024,92848,833859
276,GIANYAR REGENCY,Mandala Suci Wanara Wana ,2020,0,0
277,GIANYAR REGENCY,Mandala Suci Wanara Wana ,2021,0,0
278,GIANYAR REGENCY,Mandala Suci Wanara Wana ,2022,0,0
279,GIANYAR REGENCY,Mandala Suci Wanara Wana ,2023,605,731578
280,GIANYAR REGENCY,Mandala Suci Wanara Wana ,2024,92457,956107
281,GIANYAR REGENCY,Yeh Pulu,2020,170,706
282,GIANYAR REGENCY,Yeh Pulu,2021,155,36
283,GIANYAR REGENCY,Yeh Pulu,2022,213,1995
284,GIANYAR REGENCY,Yeh Pulu,2023,224,3530
285,GIANYAR REGENCY,Yeh Pulu,2024,207,3756
286,GIANYAR REGENCY,Taman Burung dan Rimba Reptil,2020,0,0
287,GIANYAR REGENCY,Taman Burung dan Rimba Reptil,2021,0,0
288,GIANYAR REGENCY,Taman Burung dan Rimba Reptil,2022,0,0
289,GIANYAR REGENCY,Taman Burung dan Rimba Reptil,2023,11424,5660
290,GIANYAR REGENCY,Taman Burung dan Rimba Reptil,2024,24712,29342
291,GIANYAR REGENCY,Wisata Gajah Taro,2020,0,0
292,GIANYAR REGENCY,Wisata Gajah Taro,2021,0,0
293,GIANYAR REGENCY,Wisata Gajah Taro,2022,0,0
294,GIANYAR REGENCY,Wisata Gajah Taro,2023,1113,28963
295,GIANYAR REGENCY,Wisata Gajah Taro,2024,2729,87131
296,GIANYAR REGENCY,Museum Arkeologi Garca,2020,0,0
297,GIANYAR REGENCY,Museum Arkeologi Garca,2021,7,0
298,GIANYAR REGENCY,Museum Arkeologi Garca,2022,0,0
299,GIANYAR REGENCY,Museum Arkeologi Garca,2023,3125,305
300,GIANYAR REGENCY,Museum Arkeologi Garca,2024,3639,330
301,GIANYAR REGENCY,Museum Neka,2020,79,1329
302,GIANYAR REGENCY,Museum Neka,2021,0,0
303,GIANYAR REGENCY,Museum Neka,2022,666,4666
304,GIANYAR REGENCY,Museum Neka,2023,573,6525
305,GIANYAR REGENCY,Museum Neka,2024,1011,3865
306,GIANYAR REGENCY,Museum Rudana,2020,174,196
307,GIANYAR REGENCY,Museum Rudana,2021,0,0
308,GIANYAR REGENCY,Museum Rudana,2022,0,0
309,GIANYAR REGENCY,Museum Rudana,2023,102,480
310,GIANYAR REGENCY,Museum Rudana,2024,382,760
311,GIANYAR REGENCY,Museum Arma,2020,88,3659
312,GIANYAR REGENCY,Museum Arma,2021,231,0
313,GIANYAR REGENCY,Museum Arma,2022,0,0
314,GIANYAR REGENCY,Museum Arma,2023,0,1259
315,GIANYAR REGENCY,Museum Arma,2024,172,6200
316,GIANYAR REGENCY,Bali Zoo Park,2020,27238,28917
317,GIANYAR REGENCY,Bali Zoo Park,2021,24783,26079
318,GIANYAR REGENCY,Bali Zoo Park,2022,60890,221377
319,GIANYAR REGENCY,Bali Zoo Park,2023,31552,20504
320,GIANYAR REGENCY,Bali Zoo Park,2024,84908,127698
321,GIANYAR REGENCY,Bali Safari & Marine Park,2020,26989,36236
322,GIANYAR REGENCY,Bali Safari & Marine Park,2021,65807,2096
323,GIANYAR REGENCY,Bali Safari & Marine Park,2022,194333,73529
324,GIANYAR REGENCY,Bali Safari & Marine Park,2023,152643,109077
325,GIANYAR REGENCY,Bali Safari & Marine Park,2024,113930,111239
326,GIANYAR REGENCY,Museum Antonio Blanco,2020,928,2653
327,GIANYAR REGENCY,Museum Antonio Blanco,2021,0,0
328,GIANYAR REGENCY,Museum Antonio Blanco,2022,560,379
329,GIANYAR REGENCY,Museum Antonio Blanco,2023,518,431
330,GIANYAR REGENCY,Museum Antonio Blanco,2024,510,428
331,GIANYAR REGENCY,Rafting Adventure,2020,0,0
332,GIANYAR REGENCY,Rafting Adventure,2021,0,0
333,GIANYAR REGENCY,Rafting Adventure,2022,0,0
334,GIANYAR REGENCY,Rafting Adventure,2023,444,5812
335,GIANYAR REGENCY,Rafting Adventure,2024,14979,35388
336,GIANYAR REGENCY,Museum Ratna Warta,2020,1064,6380
337,GIANYAR REGENCY,Museum Ratna Warta,2021,0,0
338,GIANYAR REGENCY,Museum Ratna Warta,2022,1490,10045
339,GIANYAR REGENCY,Museum Ratna Warta,2023,1130,14900
340,GIANYAR REGENCY,Museum Ratna Warta,2024,1027,19694
341,GIANYAR REGENCY,Air Terjun Tegenungan,2020,41075,67530
342,GIANYAR REGENCY,Air Terjun Tegenungan,2021,0,0
343,GIANYAR REGENCY,Air Terjun Tegenungan,2022,0,0
344,GIANYAR REGENCY,Air Terjun Tegenungan,2023,10206,225932
345,GIANYAR REGENCY,Air Terjun Tegenungan,2024,22117,412559
346,GIANYAR REGENCY,Monkey river  dan Air Terjun Blangsinga,2020,0,0
347,GIANYAR REGENCY,Monkey river  dan Air Terjun Blangsinga,2021,0,0
348,GIANYAR REGENCY,Monkey river  dan Air Terjun Blangsinga,2022,0,0
349,GIANYAR REGENCY,Monkey river  dan Air Terjun Blangsinga,2023,966,2888
350,GIANYAR REGENCY,Monkey river  dan Air Terjun Blangsinga,2024,4419,6749
351,GIANYAR REGENCY,Candi Tebing Tegallinggah,2020,0,0
352,GIANYAR REGENCY,Candi Tebing Tegallinggah,2021,229,173
353,GIANYAR REGENCY,Candi Tebing Tegallinggah,2022,386,450
354,GIANYAR REGENCY,Candi Tebing Tegallinggah,2023,350,1059
355,GIANYAR REGENCY,Candi Tebing Tegallinggah,2024,427,1390
356,GIANYAR REGENCY,DTW Mengening,2020,0,0
357,GIANYAR REGENCY,DTW Mengening,2021,418,28
358,GIANYAR REGENCY,DTW Mengening,2022,960,5568
359,GIANYAR REGENCY,DTW Mengening,2023,2057,22051
360,GIANYAR REGENCY,DTW Mengening,2024,1877,31991
361,GIANYAR REGENCY,Hidden Canyon,2020,0,0
362,GIANYAR REGENCY,Hidden Canyon,2021,0,0
363,GIANYAR REGENCY,Hidden Canyon,2022,0,0
364,GIANYAR REGENCY,Hidden Canyon,2023,259,3216
365,GIANYAR REGENCY,Hidden Canyon,2024,1418,5443
366,GIANYAR REGENCY,Ceking,2020,0,0
367,GIANYAR REGENCY,Ceking,2021,0,0
368,GIANYAR REGENCY,Ceking,2022,0,0
369,GIANYAR REGENCY,Ceking,2023,0,145083
370,GIANYAR REGENCY,Ceking,2024,0,78746
371,GIANYAR REGENCY,Goa Garba,2020,0,0
372,GIANYAR REGENCY,Goa Garba,2021,0,0
373,GIANYAR REGENCY,Goa Garba,2022,43,162
374,GIANYAR REGENCY,Goa Garba,2023,590,1674
375,GIANYAR REGENCY,Goa Garba,2024,605,2290
376,BANGLI REGENCY,Penulisan,2020,10,95
377,BANGLI REGENCY,Penulisan,2021,8,12
378,BANGLI REGENCY,Penulisan,2022,0,0
379,BANGLI REGENCY,Penulisan,2023,16,726
380,BANGLI REGENCY,Penulisan,2024,46,675
381,BANGLI REGENCY,Pura Kehen,2020,24,1899
382,BANGLI REGENCY,Pura Kehen,2021,0,0
383,BANGLI REGENCY,Pura Kehen,2022,265,8275
384,BANGLI REGENCY,Pura Kehen,2023,203,14831
385,BANGLI REGENCY,Pura Kehen,2024,200,32314
386,BANGLI REGENCY,Penelokan Batur,2020,34763,114597
387,BANGLI REGENCY,Penelokan Batur,2021,21850,667
388,BANGLI REGENCY,Penelokan Batur,2022,359143,185524
389,BANGLI REGENCY,Penelokan Batur,2023,355712,409252
390,BANGLI REGENCY,Penelokan Batur,2024,332091,275119
391,BANGLI REGENCY,Desa Truyan,2020,1101,242
392,BANGLI REGENCY,Desa Truyan,2021,876,8
393,BANGLI REGENCY,Desa Truyan,2022,502,60
394,BANGLI REGENCY,Desa Truyan,2023,2399,505
395,BANGLI REGENCY,Desa Truyan,2024,1493,815
396,BANGLI REGENCY,Desa Penglipuran,2020,29803,5731
397,BANGLI REGENCY,Desa Penglipuran,2021,146180,565
398,BANGLI REGENCY,Desa Penglipuran,2022,564383,43749
399,BANGLI REGENCY,Desa Penglipuran,2023,789315,112461
400,BANGLI REGENCY,Desa Penglipuran,2024,1022971,152160
401,KLUNGKUNG REGENCY,Kerta Gosa/Museum Semarajaya,2020,1749,4062
402,KLUNGKUNG REGENCY,Kerta Gosa/Museum Semarajaya,2021,868,42
403,KLUNGKUNG REGENCY,Kerta Gosa/Museum Semarajaya,2022,2673,16091
404,KLUNGKUNG REGENCY,Kerta Gosa/Museum Semarajaya,2023,4344,48641
405,KLUNGKUNG REGENCY,Kerta Gosa/Museum Semarajaya,2024,3193,33780
406,KLUNGKUNG REGENCY,Goa Lawah,2020,924,7346
407,KLUNGKUNG REGENCY,Goa Lawah,2021,122,13
408,KLUNGKUNG REGENCY,Goa Lawah,2022,85,2485
409,KLUNGKUNG REGENCY,Goa Lawah,2023,2268,46521
410,KLUNGKUNG REGENCY,Goa Lawah,2024,1368,38067
411,KLUNGKUNG REGENCY,Kawasan Nusa Penida,2020,89469,9941
412,KLUNGKUNG REGENCY,Kawasan Nusa Penida,2021,162,0
413,KLUNGKUNG REGENCY,Kawasan Nusa Penida,2022,36304,0
414,KLUNGKUNG REGENCY,Kawasan Nusa Penida,2023,2075152,0
415,KLUNGKUNG REGENCY,Kawasan Nusa Penida,2024,735575,133610
416,KARANGASEM REGENCY,Puri Karangasem,2020,85,649
417,KARANGASEM REGENCY,Puri Karangasem,2021,249,44
418,KARANGASEM REGENCY,Puri Karangasem,2022,506,1712
419,KARANGASEM REGENCY,Puri Karangasem,2023,574,4030
420,KARANGASEM REGENCY,Puri Karangasem,2024,916,5330
421,KARANGASEM REGENCY,Besakih,2020,13195,31644
422,KARANGASEM REGENCY,Besakih,2021,6150,2545
423,KARANGASEM REGENCY,Besakih,2022,19898,77603
424,KARANGASEM REGENCY,Besakih,2023,28841,183479
425,KARANGASEM REGENCY,Besakih,2024,25010,190724
426,KARANGASEM REGENCY,Tirta Gangga,2020,49275,48816
427,KARANGASEM REGENCY,Tirta Gangga,2021,35779,1963
